-149.876714,61.187923,Z. J. LOUSSAC LIBRARY,"3600 DENALI STREET ANCHORAGE, AK 99503-6055 (907) 343-2892 AK0002011"
-149.777613,61.195181,MULDOON BRANCH LIBRARY,"5530 EAST NORTHERN LIGHTS BOULEVARD ANCHORAGE, AK 99504-3135 (907) 343-4032 AK0002008"
-149.808428,61.223223,MOUNTAIN VIEW BRANCH LIBRARY,"150 SOUTH BRAGAW STREET ANCHORAGE, AK 99508-1307 (907) 272-4867 AK0002012"
-149.866937,61.144589,SAMSON-DIMOND BRANCH LIBRARY,"800 EAST DIMOND BOULEVARD SUITE 23 ANCHORAGE, AK 99515-2061 (907) 343-4049 AK0002009"
-152.883298,57.874537,JESSIE WAKEFIELD MEMORIAL LIBRARY,"207 SPRUCE DRIVE PORT LIONS, AK 99550-0049 (907) 454-2288 AK0058002"
-161.409735,60.878169,AKIACHAK SCHOOL/COMMUNITY LIBRARY,"1 MAIN STREET AKIACHAK, AK 99551-0100 (907) 825-3630 AK0095002"
-161.191731,60.887264,AKIAK SCHOOL/COMMUNITY LIBRARY,"1 KILBUCK ROAD AKIAK, AK 99552-0049 (907) 765-4600 AK0082002"
-151.71634,59.813514,ANCHOR POINT PUBLIC LIBRARY,"73405 MILO FRITZ AVENUE ANCHOR POINT, AK 99556-0129 (907) 235-5692 AK0001002"
-156.68653,61.489294,ANIAK PUBLIC LIBRARY,"270 RIVERFRONT DRIVE ANIAK, AK 99557-0270 (907) 675-4435 AK0116001"
-160.12291,63.27563,BLACKWELL COMMUNITY/SCHOOL LIBRARY,"1 AIRPORT ROAD ANVIK, AK 99558-0090 (907) 663-6348 AK0121001"
-161.760222,60.770148,KUSKOKWIM CONSORTIUM LIBRARY,"420 STATE HIGHWAY BETHEL, AK 99559-0368 (907) 543-4516 AK0006002"
-161.134576,55.737526,COLD BAY PUBLIC LIBRARY,"10 BARANOV STREET COLD BAY, AK 99571-0087 (907) 532-2878 AK0014002"
-150.134689,60.490752,COOPER LANDING COMMUNITY LIBRARY,"1.2 MILE BEAN CREEK ROAD COOPER LANDING, AK 99572-0517 (907) 595-1241 AK0015002"
-143.875489,61.665308,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,"MILE 5 EDGERTON HIGHWAY KENNY LAKE, AK 99573-9704 (907) 822-3015 AK0085004"
-145.766016,60.548015,CORDOVA PUBLIC LIBRARY,"622 FIRST STREET CORDOVA, AK 99574-1210 (907) 424-6667 AK0016002"
-158.466804,59.040264,DILLINGHAM PUBLIC LIBRARY,"306 D STREET WEST DILLINGHAM, AK 99576-0870 (907) 842-5610 AK0020002"
-149.564842,61.333192,CHUGIAK/EAGLE RIVER BRANCH LIBRARY,"12400 OLD GLENN HIGHWAY EAGLE RIVER, AK 99577-7596 (907) 694-2500 AK0002007"
-157.335671,58.178169,EGEGIK VILLAGE LIBRARY,"289 AIRPORT WAY EGEGIK, AK 99579-0029 (907) 233-2211 AK0102002"
-149.123867,60.971322,SCOTT AND WESLEY GERRISH BRANCH LIBRARY,"169 HIGHTOWER ROAD GIRDWOOD, AK 99587-0169 (907) 343-4024 AK0002010"
-146.364365,62.048766,COPPER VALLEY COMMUNITY LIBRARY,"MILE 186 GLENN HIGHWAY GLENNALLEN, AK 99588-0173 (907) 822-5427 AK0027002"
-159.683044,64.079245,GRAYLING COMMUNITY/SCHOOL LIBRARY,"DAVID LOUIS SCHOOL BUILDING GRAYLING, AK 99590-0090 (907) 453-5135 AK0122001"
-160.440315,62.229804,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,"210 TRAILWAY STREET HOLY CROSS, AK 99602-0210 (907) 476-7131 AK0104002"
-151.547189,59.643992,HOMER PUBLIC LIBRARY,"141 WEST PIONEER AVENUE HOMER, AK 99603-7523 (907) 235-3180 AK0032002"
-149.636592,60.916201,HOPE/SUNRISE COMMUNITY LIBRARY,"18487 A AVENUE HOPE, AK 99605-0127 (907) 782-3121 AK0033002"
-151.275376,60.353801,KASILOF PUBLIC LIBRARY,"MILE 110 STERLING HIGHWAY KASILOF, AK 99610-0176 (907) 262-4844 AK0037002"
-151.244012,60.558132,KENAI COMMUNITY LIBRARY,"163 MAIN STREET LOOP KENAI, AK 99611-7723 (907) 283-4378 AK0038002"
-156.483224,58.731394,IGIUGIG TRIBAL LIBRARY,"1 AIRPORT ROAD IGIUGIG, AK 99613-4008 (907) 533-3211 AK0126001"
-152.493756,57.747365,CHINIAK PUBLIC LIBRARY,"43318 SPRUCE WAY CHINIAK, AK 99615-5610 (907) 486-3022 AK0011002"
-152.398494,57.793921,A. HOLMES JOHNSON MEMORIAL LIBRARY,"319 LOWER MILL BAY ROAD KODIAK, AK 99615-7341 (907) 486-8688 AK0040002"
-154.934265,62.952118,MCGRATH COMMUNITY SCHOOL LIBRARY,"CHINANA AVENUE MCGRATH, AK 99627-0249 (907) 524-3843 AK0044002"
-149.508366,60.524651,MOOSE PASS PUBLIC LIBRARY,"200 DEPOT ROAD MOOSE PASS, AK 99631-0154 (907) 288-3111 AK0099002"
-164.533644,62.16899,MOUNTAIN VILLAGE PUBLIC LIBRARY,"1 SAINT MARY'S HIGHWAY MOUNTAIN VILLAGE, AK 99632-0085 (907) 591-2970 AK0129001"
